,effective Date,diesel
0,2082.05.15 (2025.08.31),145.0
1,2082.06.14 (2025.09.30),145.0
2,2082.05.30 (2025.09.15),142.5
3,2082.04.30(2025.08.15),149.0
4,2082.04.15 (2025.07.31),150.0
5,2082.03.31 (2025.07.15),148.0
6,2082.03.16 (2025.06.30),149.0
7,2082.03.01 (2025.06.01),145.0
8,2082.02.17(2025.05.31),143.0
9,2081.12.18(2025.03.31),149.0
10,2081.12.03(2025.03.16),151.0
11,2081.11.17(2025.03.01),155.0
12,2081.10.02 (2025.01.15),156.0
13,2081.09.16 (2024.12.31),153.0
14,2081.08.30 (2024.12.15),151.0
15,2081.08.15 (2024.11.30),153.0
16,2080.11.03 (2024.02.15),160.0
17,2025.05.15(2082.02.01),142.0
18,2025.04.30(2082.01.17),145.0
19,2025.04.15(2082.01.02),146.0
20,2025.02.16(2081.11.03),156.0
21,2025.01.31(2081.10.18),160.0
22,2024.11.15(2081.07.30),153.0
23,2024.10.31(2081.07.15),150.0
24,2024.10.15(2081.06.29),151.0
25,2024.09.30(2081.06.14),147.0
26,2024.09.16(2081.05.30),149.0
27,2024.09.01(2081.05.15),154.0
28,2024.08.16(2081.04.31),155.0
29,2024.07.31(2081.04.16),158.0
30,2024.07.15(2081.03.31),160.0
31,2024.06.30( 2081.03.16),157.0
32,2024.05.31(2081.02.18),153.0
33,2024.05.16(2081.02.02),154.0
34,2024.04.30(2081.01.18),159.0
35,2024.04.16(2081.01.03),161.0
36,2024.04.01(2080.12.18),158.0
37,2024.03.15(2080.12.02),158.0
38,2024.01.31(2080.10.17),158.0
39,2024.01.15(2080.10.01),156.0
40,2023.12.31(2080.09.15),157.0
41,2023.12.15(2080.08.29),157.0
42,2023.11.30(2080.08.14),160.0
43,2023.11.01(2080.07.14),164.0
44,2023.10.15(2080.06.28),168.0
45,2023.10.01(2080.06.14),173.0
46,2023.09.30(2080.06.13),179.0
47,2023.09.15(2080.05.29),173.0
48,2023.09.01(2080.05.15),170.0
49,2023.08.16(2080.04.31),167.0
50,2023.08.01(2080.04.16),153.0
51,2023.07.16(2080.03.31),146.0
52,2023.07.03(2080.03.18),150.0
53,2023.06.20(2080.03.05),155.0
54,2023.05.16(2080.02.02),155.0
55,2023.04.03(2079.12.20),165.0
56,2023.02.06(2079.10.23),175.0
57,2023.01.08(2079.09.24),172.0
58,2022.12.16(2079.09.01),175.0
59,2022.09.01(2079.05.16),178.0
60,2022.07.04(2079.03.20),172.0
61,2022.06.25(2079.03.11),163.0
62,2022.06.19(2079.03.05),192.0
63,2022.06.09(2079.02.26),165.0
64,2022.06.02(2079.02.19),153.0
65,2022.05.22(2079.02.08),163.0
66,2022.05.14(2079.01.31),153.0
67,2022.04.05(2078.12.22),143.0
68,2022.03.16(2078.12.02),138.0
69,2022.03.03(2078.11.19),133.0
70,2022.02.20(2078.11.08),128.0
71,2022.02.19(2078.11.07),128.0
72,2022.02.01(2078.10.18),125.0
73,2022.01.19(2078.10.05),122.0
74,2021.11.10(2078.07.24),119.0
75,2021.10.29(2078.07.12),116.0
76,2021.08.23(2078.05.07),113.0
77,2021.07.14(2078.03.30),111.0
78,2021.07.06(2078.03.22),112.0
79,2021.06.23(2078.3.9),110.0
80,2021.06.06(2078.02.23),108.0
81,2021.06.05(2078.02.22),108.0
82,2021.05.16(2078.02.02),106.0
83,2021.04.17(2078.01.04),104.0
84,2021.04.04(2077.12.22),103.0
85,2021.03.16(2077.12.03),101.0
86,2021.03.01(2077.11.17),99.0
87,2021.02.16(2077.11.04),97.0
88,2021.02.10(2077.10.28),95.0
89,2021.01.18(2077.10.05),93.0
90,2020.12.12(2077.08.27),91.0
91,2020.10.01(2077.06.15),89.0
92,2020.09.16(2077.05.31),90.0
93,2020.09.1(2077.05.16),91.0
94,2020.08.16(2077.04.32),91.0
95,2020.08.02(2077.04.17),90.0
96,2020.07.10(2077.03.26),88.0
97,2020.06.30(2077.03.16),87.0
98,2020.05.29(2077.02.16),85.0
99,2020.04.01(2076.12.19),85.0
100,2020.03.16(2076.12.03),95.0
101,2020.02.17(2076.11.05),97.0
102,2020.02.03(2076.10.20),99.0
103,2020.01.01(2076.09.16),100.0
104,2019.12.17 (2076.09.01),98.0
105,2019.10.03 (2076.08.17),97.0
106,2019.09.10 (2076.05.24),95.0
107,2019.08.07 (2076.04.22),97.0
108,2019.06.17 (2076.03.02),96.5
109,2019.06.06 (2076.2.23),98.5
110,2019.05.30 (2076.2.16),98.5
111,2019.05.18 (2076.2.04),97.0
112,2019.05.03 (2076.1.20),98.0
113,2019.04.24 (2076.1.11),97.0
114,2019.02.02 (2075.10.19),97.0
115,2019.01.10 (2075.9.26),95.0
116,2019.01.02 (2075.9.18),95.0
117,2018.12.18(2075.09.03),97.0
118,2018.12.03 (2075.08.17),99.0
119,2018.09.17 (2075.06.01),101.0
120,2018.09.05 (2075.05.20),98.0
121,2018.08.19 (2075.05.03),95.0
122,2018.06.16 (2075.03.02),93.0
123,2018.06.02 (2075.02.19),95.0
124,2018.05.16 (2075.02.02),92.0
125,2018.05.02 (2075.01.19),90.0
126,2018.04.16 (2075.01.03),87.0
127,2018.04.02 (2074.12.19),85.0
128,2018.03.04 (2074.11.20),
129,2018.02.01 (2074.10.18),83.0
130,2018.01.17 (2074.10.03),81.0
131,2018.01.01 (2074.09.17),79.0
132,2017.12.19 (2074.09.04),78.0
133,2017.12.08 (2074.08.22),77.0
134,2017.11.02 (2074.07.16),74.0
135,2017.11.01(2074.07.15),75.5
